query,std reasoner,std nodes explored,std min depth,success,time
1,std,21,6,True,0.004259165999999759
2,std,4,3,True,0.0019947489999996293
3,std,23,6,True,0.0073699470000008205
4,std,12,8,True,0.0029697060000000164
5,std,4,3,True,0.0017770429999997006
6,std,19,6,True,0.005569836000000272
7,std,4,3,True,0.00221292999999978
8,std,4,3,True,0.0015019949999999227
9,std,126,6,True,0.004616289999999523
10,std,2,1,True,0.0007951259999998683
11,std,2,1,True,4.668000000052075e-05
12,std,4,3,True,0.0017542459999999593
13,std,7,6,True,0.0022173399999996235
14,std,4,3,True,0.0015076899999995064
15,std,2,1,True,4.663600000043289e-05
16,std,10,5,True,0.0008312909999999007
17,std,657,9,True,0.16478999200000022
18,std,10,8,True,0.0021842909999998383
19,std,4,3,True,0.0007266839999999775
20,std,4,3,True,0.0014466329999995864
21,std,4,3,True,0.0009662079999994688
22,std,4,3,True,0.0004147790000006424
23,std,15,14,True,0.004752295000000295
24,std,4,3,True,0.0007040069999995069
25,std,3,2,True,0.0003284439999999833
26,std,9314,0,False,0.23668578099999937
27,std,393,0,False,0.020111405999999832
28,std,71,3,True,0.009083171999999529
29,std,11,10,True,0.0030671130000001767
30,std,46,8,True,0.011928919999999898
31,std,4,3,True,0.0007668649999992283
32,std,841,0,False,0.14141692300000042
33,std,4,3,True,0.0030289639999994122
34,std,2,1,True,6.981199999955834e-05
35,std,4,3,True,0.00048242600000047986
36,std,359,0,False,0.02851067900000004
37,std,1686,8,True,0.07179328099999971
38,std,12,3,True,0.003106084000000564
39,std,4,3,True,0.0014774209999997012
40,std,7,6,True,0.0007295620000000724
41,std,6,4,True,0.0013544240000005203
42,std,49,9,True,0.008540544000000594
43,std,4,3,True,0.0015359689999998594
44,std,4,3,True,9.99070000000657e-05
45,std,10,9,True,0.00468083800000052
46,std,74,10,True,0.010386095000000317
47,std,4,3,True,0.0017465860000003275
48,std,126,6,True,0.0033808990000006034
49,std,91,9,True,0.024897917000000547
50,std,43,3,True,0.005085118999999416
51,std,7,6,True,0.002371493000000058
52,std,222,0,False,0.02481471699999993
53,std,10,9,True,0.0024050220000004785
54,std,4,3,True,0.0015042809999998852
55,std,17,9,True,0.004816395999999834
56,std,1514,13,True,0.056093193000000596
57,std,2,1,True,0.00025685000000041924
58,std,7,6,True,0.0017486319999999722
59,std,30014,15,True,0.4418826650000005
60,std,4,3,True,0.0003487450000001502
61,std,4,3,True,0.0007615250000005958
62,std,4,3,True,0.001700575000000093
63,std,12,3,True,0.0014612579999999653
64,std,257714,0,False,3.4800374979999997
65,std,4,3,True,0.0016486669999995485
66,std,4,3,True,0.0007861940000015721
67,std,4,3,True,0.00010321799999957193
68,std,7,6,True,0.00016892700000070704
69,std,12,3,True,0.00015884599999971272
70,std,9906,8,True,0.7119838240000007
71,std,4,3,True,0.00014751999999873533
72,std,10,9,True,0.0016560729999994805
73,std,466,8,True,0.01239626399999949
74,std,10,9,True,0.0027234800000002224
75,std,46,6,True,0.006213583999999273
76,std,2,1,True,5.700800000063566e-05
77,std,7,6,True,0.0009530319999999648
78,std,4,3,True,0.019224533000000932
79,std,15,6,True,0.00034142199999998013
80,std,11,10,True,0.0029188680000000744
81,std,4,3,True,0.0030914580000001024
82,std,4,3,True,0.0009025040000008033
83,std,479,15,True,0.24953216099999942
84,std,2591,0,False,0.1667160420000009
85,std,15,6,True,0.0015462509999988328
86,std,12,3,True,0.0015998889999995214
87,std,43,3,True,0.005579310999999976
88,std,4,3,True,0.002755679999999927
89,std,5,4,True,0.0001353749999992715
90,std,10,9,True,0.005259384000000367
91,std,1468,0,False,0.07725750700000056
92,std,4,3,True,0.0018840710000009864
93,std,4,3,True,0.00011551700000111964
94,std,7,6,True,0.00021390900000106683
95,std,10,9,True,0.0022659809999989733
96,std,18,8,True,0.0007925199999991861
97,std,4350,0,False,0.059713980999999805
98,std,4,3,True,0.0005481439999996951
99,std,4,3,True,0.00016432600000015896
100,std,18188,0,False,0.4146505739999995
