query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.5143728149999998
2,ming,3,2,True,0.017169649000001286
3,ming,2,1,True,0.06398743400000129
4,ming,1000000,0,False,486.466635884
5,ming,1225,4,True,19.32460727299997
6,ming,3,2,True,0.012397801000020081
7,ming,3,2,True,0.01692513599994072
8,ming,5,4,True,0.2371735259999923
9,ming,2,1,True,0.08818028600001071
10,ming,19,15,True,0.15827266800010875
11,ming,2,1,True,9.037799998168339e-05
12,ming,2,1,True,0.08851915800005372
13,ming,3,2,True,9.131299998443865e-05
14,ming,2,1,True,0.007855905000042185
15,ming,2,1,True,0.13716394199991555
16,ming,3,2,True,0.014798299000062798
17,ming,2,1,True,0.01176278100001582
18,ming,27,15,True,0.5128647169999567
19,ming,57205,15,True,47.479838556000004
20,ming,2,1,True,0.007800905999943097
21,ming,9,8,True,0.4864098570000124
22,ming,3,2,True,0.02019622399996024
23,ming,2,1,True,0.14313271999992594
24,ming,2,1,True,0.013513972999930957
25,ming,2,1,True,0.14757442899997386
26,ming,2,1,True,0.019282686999986254
27,ming,7,6,True,0.34103731199991216
28,ming,3060,5,True,24.82221686999992
29,ming,2,1,True,0.13998850000007224
30,ming,3,2,True,0.005875866999986101
31,ming,2,1,True,7.488500000363274e-05
32,ming,2,1,True,0.030329735999998775
33,ming,20,5,True,3.250947365000002
34,ming,2,1,True,0.0001014599999962229
35,ming,6,5,True,0.27558370199994897
36,ming,2,1,True,8.483299995987181e-05
37,ming,2,1,True,0.08341007600006378
38,ming,2,1,True,9.805000001961162e-05
39,ming,2,1,True,0.030724787000053766
40,ming,19,15,True,0.22864672399998653
41,ming,2,1,True,7.565299995349051e-05
42,ming,4,3,True,0.024430079000012483
43,ming,225883,6,True,25.192638912000007
44,ming,2,1,True,0.13370105499996043
45,ming,2,1,True,0.011218622000001233
46,ming,5,4,True,0.07257152400006817
47,ming,19,15,True,0.17494445299996642
48,ming,5,4,True,0.2688584899999569
49,ming,2,1,True,0.0137346899999784
50,ming,1325,6,True,33.47291862600002
51,ming,212869,5,True,70.03518906799991
52,ming,7,6,True,0.6730610070000012
53,ming,77,15,True,13.924699940999972
54,ming,273,15,True,7.455208792999997
55,ming,9,6,True,0.15044773799991162
56,ming,2,1,True,0.06993623600010324
57,ming,7,6,True,0.07675558300002194
58,ming,22,15,True,0.08776696999996147
59,ming,3,2,True,0.02045009400001163
60,ming,2,1,True,0.00714837800001078
61,ming,2,1,True,0.06489741200005028
62,ming,18,2,True,2.7975979919999645
63,ming,214,8,True,8.367493238999941
64,ming,2,1,True,0.009195431999955872
65,ming,76,15,True,0.556604587000038
66,ming,9,8,True,0.20154886600005284
67,ming,27,15,True,1.3667572780000228
68,ming,98,15,True,0.6615039740000839
69,ming,2,1,True,8.136700000704877e-05
70,ming,2,1,True,0.112153299000056
71,ming,3,2,True,0.02011155399998188
72,ming,18,2,True,0.03459728699999687
73,ming,2,1,True,7.432999996126455e-05
74,ming,9,8,True,0.1089070799999945
75,ming,5,4,True,0.17381147699995836
76,ming,4,3,True,0.025523530999976174
77,ming,18,2,True,0.04184139599999526
78,ming,1384,8,True,13.644876743000054
79,ming,2,1,True,0.1012378410000565
80,ming,3,2,True,0.014755971999989015
81,ming,2,1,True,0.006221449999998185
82,ming,2,1,True,0.007911199999966811
83,ming,3,2,True,0.014339536999955271
84,ming,188,3,True,0.5189842350000617
85,ming,18,2,True,0.7207937599999923
86,ming,406,5,True,0.39219632499998625
87,ming,2,1,True,7.903899995653774e-05
88,ming,3,2,True,0.011119831999963026
89,ming,2,1,True,8.202599997275684e-05
90,ming,7,6,True,0.16538429999991422
91,ming,3,2,True,0.021842472999992424
92,ming,4936,15,True,10.061149073000024
93,ming,2,1,True,0.0261550839999245
94,ming,5,4,True,0.046433646999958
95,ming,2,1,True,0.012778189000073326
96,ming,4,3,True,0.032084192999946026
97,ming,2,1,True,0.009763453000005029
98,ming,2,1,True,0.006437774999994872
99,ming,43,15,True,1.0168311959999983
100,ming,2,1,True,0.010404111999946508
